Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.5928	3.9141	5.4507	3	23	15	0
Positive	7.5772	2.56	9.1304	1	10	0	0
Positive	7.5582	4.1391	9.5348	1	6	0	1
Positive	7.6397	1.9987	1.9398	3	11	1	0
Positive	7.5307	6.3947	10.1718	1	15	0	0
Positive	7.6368	2.9552	1.1077	5	9	0	1
Positive	7.6293	2.0674	3.164	1	4	0	1
Positive	7.5672	6.0756	5.9619	7	12	0	0
Positive	7.5896	4.6456	4.932	3	6	1	0
Positive	7.6127	3.4852	3.4769	3	9	0	0
Positive	7.6056	1.8831	6.3888	0	7	0	0
Positive	7.5608	6.263	6.5404	0	2	0	0
Positive	7.6361	1.5896	2.9096	7	15	0	0
Positive	7.6199	1.0143	5.6824	4	16	0	1
Positive	7.5981	2.1408	7.0183	2	2	0	0
Positive	7.6338	0.0869	5.0875	15	6	0	1
Positive	7.6435	0.9295	2.8102	11	18	3	3
Positive	7.5468	6.3805	8.1555	9	9	11	11
Positive	7.5572	5.701	7.6957	1	4	4	5
Positive	7.5273	6.7806	10.1105	6	4	0	0
Positive	7.6336	1.0144	3.9536	3	22	0	0
Positive	7.5707	5.3825	6.396	2	5	0	5
Positive	7.585	1.5871	9.3707	2	12	0	16
Positive	7.568	3.1001	9.6154	0	2	1	0
Positive	7.588	6.4929	2.8101	10	11	0	9
Positive	7.6387	1.2347	3.0294	5	12	0	0
Positive	7.6437	0.6422	3.1458	3	3	0	0
Positive	7.5789	5.656	5.0111	2	7	0	0
Positive	7.603	1.2586	7.5072	6	13	0	0
Positive	7.6433	2.1708	1.2751	5	9	0	0
Positive	7.6417	1.6239	2.1664	9	7	0	0
Positive	7.6129	4.1208	2.6507	2	12	3	5
Positive	7.5777	5.55	5.2958	53	5	11	0
Positive	7.612	5.5303	0.9902	20	20	0	21
Positive	7.6007	3.9737	4.3747	6	6	0	0
Positive	7.5714	2.4621	9.9872	2	16	0	0
Positive	7.6181	1.6349	5.1219	3	15	0	0
Positive	7.5551	7.1382	6.155	32	31	18	26
Positive	7.632	0.2466	5.1185	0	8	0	0
Positive	7.5636	6.2846	6.1596	0	1	0	0
Positive	7.5487	6.4108	7.8838	0	13	0	1
Positive	7.6001	2.2696	6.6023	0	2	0	0
Positive	7.6298	1.6503	3.6241	4	7	0	0
Positive	7.6332	0.4439	4.7176	2	4	0	2
Positive	7.6093	4.547	2.5675	1	22	7	23
Positive	7.6339	1.2897	3.5632	13	26	0	0
Positive	7.5835	2.8172	8.0063	0	0	0	1
Positive	7.5626	4.3788	8.6786	1	5	1	1
Positive	7.5264	6.7568	10.2624	1	6	0	5
Positive	7.5687	6.0097	5.8633	1	8	9	0
Positive	7.5871	3.7975	6.3194	2	4	1	1
Positive	7.5596	4.1174	9.3893	6	16	16	5
Positive	7.5746	2.0803	10.059	1	10	0	0
Positive	7.5766	4.0746	7.2925	6	3	1	0
Positive	7.6208	4.1687	1.6	6	4	0	12
Positive	7.5614	6.4479	6.2246	2	5	0	1
Positive	7.5841	6.5464	3.2363	17	7	0	7
Positive	7.5535	4.3111	9.917	1	13	0	1
Negative	7.584	4.9584	5.2509	2	4	0	0
Positive	7.6025	3.4297	4.8359	1	6	0	0
Positive	7.5867	6.1518	3.4075	20	3	5	17
Positive	7.6276	3.5259	1.5477	4	2	0	4
Positive	7.6303	2.252	2.8064	0	5	1	0
Positive	7.5848	6.8172	2.8091	7	7	0	0
Positive	7.5439	6.6582	8.1791	18	8	1	18
Positive	7.6071	1.0583	7.2447	1	11	0	1
Positive	7.5408	5.8576	9.5773	6	7	1	16
Positive	7.6397	0.5105	3.8101	0	5	0	1
Positive	7.6061	4.9337	2.4903	6	15	1	5
Positive	7.5723	2.5203	9.8013	4	14	0	0
Positive	7.5617	3.5007	9.8987	1	3	0	2
Positive	7.6088	1.4435	6.5465	5	13	0	0
Positive	7.6328	0.229	5.0356	1	10	0	0
Positive	7.5748	2.1386	9.9568	1	4	0	0
Positive	7.5421	5.6629	9.6535	0	2	0	1
Positive	7.6405	1.6703	2.2579	4	2	0	0
Positive	7.6394	0.8197	3.4639	7	7	0	0
Positive	7.5217	6.8203	10.779	5	7	1	9
Positive	7.5862	6.0318	3.6188	1	9	0	0
Positive	7.6401	0.8796	3.3014	1	6	0	0
Positive	7.6399	2.4994	1.2845	3	8	0	0
Positive	7.539	5.5546	10.1785	5	7	1	27
Positive	7.5414	6.2947	8.951	15	15	0	18
Positive	7.5989	1.0642	8.2734	2	10	1	0
Positive	7.6052	3.3894	4.5519	1	5	1	0
Positive	7.6195	0.2698	6.6709	4	8	0	0
