Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	6.2541	3.8805	4.0668	83	3	0	0
Positive	6.2142	6.1718	6.2206	29	2	0	1
Positive	6.2898	0.7905	3.45	39	1	0	0
Positive	6.2736	3.9572	1.5067	50	1	0	0
Positive	6.241	3.9772	5.6029	136	14	0	0
Positive	6.2838	1.7545	2.9884	110	16	6	0
Positive	6.1908	6.9139	8.2418	102	6	0	7
Positive	6.2779	3.8781	1.0661	106	21	0	0
Positive	6.2363	3.6548	6.5954	94	9	6	0
Positive	6.2321	4.6151	5.919	96	1	1	0
Positive	6.29	2.3022	1.5274	77	8	0	0
Positive	6.2227	3.1547	8.9461	76	2	0	0
Positive	6.2373	6.6845	2.6553	131	5	0	2
Positive	6.2074	4.8188	8.7819	90	4	0	0
Positive	6.2706	3.1741	2.8763	58	7	0	0
Positive	6.2353	4.3208	5.8896	80	8	7	3
Positive	6.2163	5.6594	6.6009	64	2	2	1
Positive	6.2114	3.7052	9.6857	62	12	0	1
Positive	6.2553	5.2738	2.1638	42	7	0	0
Positive	6.2379	4.0078	5.9484	89	4	1	4
Positive	6.193	5.6206	9.5966	107	5	0	0
Positive	6.2849	0.8113	4.0442	80	9	0	1
Positive	6.1901	6.6142	8.7084	70	3	1	0
Positive	6.2155	3.0389	10.0084	99	21	0	0
Positive	6.2289	5.6889	4.9727	68	4	15	0
Positive	6.2813	2.7571	2.053	65	7	1	1
Positive	6.2276	2.9544	8.5842	40	3	0	0
Positive	6.2903	1.4547	2.5488	87	18	0	0
Positive	6.2704	1.2188	5.3622	74	10	0	0
Positive	6.2825	2.0548	2.7822	90	5	0	0
Positive	6.2784	3.6611	1.2758	48	6	0	0
Positive	6.2822	0.9878	4.1618	38	4	0	0
Positive	6.2665	4.7473	1.4171	66	12	0	0
Positive	6.2644	3.3329	3.4609	59	3	0	1
Positive	6.2792	0.5698	5.0627	123	0	0	0
Positive	6.2421	3.8878	5.5744	141	4	0	0
Positive	6.232	4.8257	5.6656	101	13	1	6
Positive	6.2295	4.1355	6.8549	34	1	0	0
Positive	6.2826	3.5215	0.921	56	9	0	0
Positive	6.2759	2.7769	2.7041	48	3	0	0
Positive	6.2266	6.4154	4.3483	82	7	0	0
Positive	6.2549	5.594	1.8043	107	14	0	2
