Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	6.1994	4.5739	10.0992	75	4	0	0
Positive	6.2797	1.6502	3.6438	60	6	0	0
Positive	6.2234	2.7944	9.3137	100	12	0	0
Positive	6.2276	3.918	7.3652	39	1	0	0
Positive	6.275	0.9244	5.1538	41	4	0	0
Positive	6.2729	3.8791	1.6916	66	11	0	0
Positive	6.2703	4.6986	0.993	41	5	0	0
Positive	6.2768	2.012	3.5595	21	10	0	0
Positive	6.2272	5.482	5.4508	56	7	0	0
Positive	6.2872	2.6451	1.4424	54	9	0	0
Positive	6.2719	0.99	5.4546	79	8	0	1
Positive	6.2765	1.195	4.6179	56	10	0	0
Positive	6.2089	3.7497	9.947	116	26	0	0
Positive	6.2596	2.9245	4.5733	37	6	0	0
Positive	6.2899	0.714	3.5294	34	2	0	0
Positive	6.2099	6.9359	5.7994	42	3	0	3
Positive	6.2154	6.0832	6.1825	42	7	0	0
Positive	6.2799	1.863	3.3468	58	10	0	0
Positive	6.2784	1.2671	4.2885	48	4	0	0
Positive	6.2086	3.6111	10.1508	48	4	0	11
Positive	6.2397	4.6292	4.9483	44	3	0	0
Positive	6.1982	5.7771	8.7384	54	5	0	7
Positive	6.2278	2.1662	9.5539	114	0	0	0
Positive	6.2268	5.5233	5.4444	83	8	4	0
Positive	6.2332	3.461	7.2316	143	22	0	0
Positive	6.2575	4.6551	2.6634	88	3	0	5
Positive	6.211	5.333	7.6867	50	9	18	5
Positive	6.2295	6.8182	3.4794	67	7	0	0
Positive	6.2327	6.5296	3.4299	36	10	0	0
Positive	6.2541	3.7229	4.2632	62	3	0	0
Positive	6.233	6.8311	3.0141	41	7	2	3
Positive	6.2783	1.5202	3.9805	65	11	0	0
Positive	6.2618	4.759	1.9943	74	3	0	0
Positive	6.2834	2.9793	1.498	119	15	0	0
Positive	6.2454	4.7134	4.1216	51	4	0	0
Positive	6.2022	4.8208	9.4333	96	8	0	0
Positive	6.2333	6.8758	2.9243	136	13	0	35
Positive	6.2061	4.9604	8.7731	77	6	0	0
Positive	6.2136	5.5716	7.0481	32	5	0	2
Positive	6.2314	5.2606	5.1973	115	7	0	0
Positive	6.2087	3.6685	10.0747	36	1	0	0
Positive	6.2274	4.2837	6.9321	123	12	1	0
Positive	6.2202	5.8924	5.8146	101	4	1	2
Positive	6.2002	4.7497	9.7771	75	19	1	10
Positive	6.2479	2.0021	7.2099	37	0	0	0
Positive	6.2252	5.1983	6.0541	93	6	0	0
Positive	6.2857	1.2785	3.3493	79	7	0	0
Positive	6.2106	3.9799	9.4396	42	0	0	1
Positive	6.2487	6.4722	1.4815	40	0	0	0
Positive	6.2064	4.8166	8.9082	73	8	0	1
Positive	6.2447	6.4637	2.0068	29	3	0	0
Positive	6.2666	3.8962	2.4735	45	1	0	0
Positive	6.2581	5.3246	1.7451	40	3	0	3
Positive	6.2891	1.5186	2.6224	77	16	1	0
Positive	6.224	2.2467	9.9296	61	0	0	0
Positive	6.215	6.4832	5.7294	42	10	7	0
Positive	6.2656	1.4116	5.7262	38	0	0	0
Positive	6.2529	2.3904	6.0993	62	1	0	1
Positive	6.2624	3.3398	3.696	42	0	0	0
Positive	6.1927	5.4148	9.8925	168	16	0	29
Positive	6.2294	7.1373	3.0851	92	9	1	0
Positive	6.2673	1.1243	5.8752	40	0	0	0
Positive	6.242	6.7661	1.9629	24	1	0	0
Positive	6.1911	6.8485	8.2934	38	9	0	7
Positive	6.2596	5.3531	1.5147	71	20	0	1
Positive	6.1861	6.7376	9.0535	55	0	0	4
Positive	6.2272	6.9802	3.5571	51	6	0	4
Positive	6.2022	6.2049	7.6921	61	4	0	2
Positive	6.2612	1.7291	5.882	71	6	0	0
Positive	6.1981	5.7103	8.8425	90	6	0	0
Positive	6.2901	0.9824	3.167	55	0	0	0
Positive	6.2471	3.3268	5.6483	42	5	0	0
Positive	6.2175	4.7904	7.5434	45	2	0	0
Positive	6.1905	7.1048	8.0422	63	3	0	0
Positive	6.288	1.759	2.4522	47	5	0	0
Positive	6.2428	5.7287	3.17	55	7	19	0
Positive	6.2081	4.2121	9.459	81	5	0	0
Positive	6.2919	1.7008	2.0328	109	18	0	0
Positive	6.263	4.0701	2.7095	50	2	0	0
Positive	6.1858	6.1365	9.859	124	9	0	7
Positive	6.2475	3.2942	5.6432	55	0	0	0
Positive	6.2925	1.9598	1.6374	36	0	0	6
Positive	6.2127	6.0506	6.5704	118	12	2	3
Positive	6.2005	6.2813	7.8152	72	13	2	2
Positive	6.2128	6.5635	5.9107	48	4	10	0
Positive	6.1856	6.931	8.8736	69	5	4	6
Positive	6.2234	6.8234	4.2435	34	1	0	0
Positive	6.2808	3.6029	1.0418	44	2	0	8
Positive	6.2784	1.7945	3.6229	61	12	0	0
Positive	6.2929	1.8577	1.7097	53	5	1	6
Positive	6.2194	4.6993	7.4169	71	5	4	0
Positive	6.1858	6.7523	9.0805	85	2	0	7
Positive	6.2404	2.7341	7.2356	48	3	0	0
Positive	6.2365	6.2656	3.2899	53	0	0	0
Positive	6.2501	6.2178	1.6262	19	1	0	1
Positive	6.2082	4.4716	9.1146	56	2	0	0
Positive	6.2415	4.2472	5.1998	51	8	5	0
Positive	6.2107	3.1792	10.4355	41	0	0	0
Positive	6.2455	6.4323	1.9403	46	3	0	9
Positive	6.2804	2.7663	2.155	99	8	0	0
Positive	6.2878	2.8614	1.0997	71	5	0	0
Positive	6.215	6.0988	6.2107	81	2	0	0
Positive	6.2534	3.9184	4.1143	71	2	1	0
Positive	6.2417	2.846	6.9316	128	2	0	0
Positive	6.2263	6.5254	4.2457	113	8	0	15
Positive	6.1925	6.6191	8.4035	81	4	0	0
Positive	6.2014	4.8291	9.5234	104	6	0	2
Positive	6.2095	3.714	9.9095	126	18	0	1
Positive	6.258	4.5124	2.7748	59	5	0	2
Positive	6.2597	4.1882	2.9787	72	4	1	4
Positive	6.197	6.0017	8.6116	39	6	2	0
Positive	6.2563	1.1156	7.2694	43	0	0	0
Positive	6.1987	4.8203	9.8807	54	0	0	0
Positive	6.2443	6.3342	2.2178	109	12	0	14
Positive	6.2111	6.3113	6.4429	80	22	13	14
Positive	6.2586	3.3989	4.1045	117	5	0	0
Positive	6.2763	3.1432	2.1988	77	10	0	0
Positive	6.2851	2.4532	1.9503	81	10	0	0
Positive	6.2428	3.5844	5.867	130	17	5	21
Positive	6.2069	3.5028	10.5016	45	3	0	2
Positive	6.2393	4.7446	4.8459	36	2	6	0
Positive	6.2463	4.3842	4.4228	91	10	0	0
Positive	6.261	5.3475	1.3446	111	15	0	0
Positive	6.2164	5.7532	6.4749	50	7	12	17
Positive	6.2282	7.3189	3.0079	74	4	0	0
Positive	6.2617	4.3001	2.575	45	0	0	1
Positive	6.2105	5.5354	7.487	94	12	0	0
Positive	6.2056	5.9718	7.5649	47	2	0	0
Positive	6.2127	5.4734	7.2971	42	4	3	2
Positive	6.1985	5.6597	8.8507	116	11	4	2
Positive	6.2658	1.3312	5.801	62	1	0	0
Positive	6.2191	6.3634	5.3627	64	4	3	0
Positive	6.197	6.0255	8.5778	80	21	6	1
Positive	6.2147	3.9643	8.938	39	1	0	1
Positive	6.2205	3.3717	8.9464	47	2	0	0
Positive	6.2056	4.0114	10.0308	50	2	0	6
Positive	6.2022	5.1823	8.9857	74	4	0	9
Positive	6.2748	4.1955	1.0519	68	8	0	14
Positive	6.2066	4.2506	9.6038	72	1	0	0
Positive	6.194	5.091	10.1326	94	16	0	24
Positive	6.2155	2.8474	10.2418	107	13	1	6
Positive	6.1947	6.2603	8.5702	113	11	0	0
Positive	6.2134	3.3451	9.8769	89	21	0	0
Positive	6.1965	5.5845	9.1922	46	5	0	0
Positive	6.23	6.8821	3.332	63	4	0	2
Positive	6.2645	5.0142	1.3281	113	19	0	0
Positive	6.2529	2.3997	6.0822	47	4	4	1
Positive	6.2697	4.7722	0.9754	106	11	0	9
Positive	6.2149	3.5842	9.3899	57	6	0	0
Positive	6.1971	4.7811	10.1301	37	1	0	0
Positive	6.2412	2.962	6.8525	65	4	0	0
Positive	6.2493	5.768	2.3002	134	20	0	0
Positive	6.2799	2.4684	2.5871	93	11	0	0
Positive	6.1905	5.7845	9.6985	136	14	0	2
Positive	6.2683	4.6485	1.314	259	51	0	0
Positive	6.2347	2.2528	8.5676	159	0	0	0
Positive	6.2132	6.6172	5.7921	78	11	3	1
Positive	6.229	4.2344	6.7934	32	17	0	0
Positive	6.2586	4.045	3.2935	62	8	0	6
Positive	6.1934	5.2729	9.9793	57	3	0	2
Positive	6.2457	3.296	5.863	53	0	0	0
Positive	6.2512	2.6601	5.9683	33	0	0	0
Positive	6.2571	0.8182	7.5417	54	0	0	0
Positive	6.2174	2.6778	10.2195	113	10	0	1
Positive	6.242	6.1767	2.7039	58	5	0	0
Positive	6.2389	6.285	2.9631	53	5	4	0
Positive	6.2832	3.5217	0.8407	80	5	0	7
Positive	6.2878	2.4472	1.6147	94	9	0	1
Positive	6.2412	2.6658	7.2216	117	1	0	0
Positive	6.2484	3.9404	4.7186	109	10	0	0
Positive	6.2267	4.8555	6.3072	36	1	0	2
Positive	6.21	3.2281	10.457	32	0	0	0
Positive	6.1966	6.5412	7.9817	58	4	0	0
Positive	6.2332	6.0043	4.0325	65	3	0	0
Positive	6.204	4.022	10.2172	46	5	0	0
Positive	6.2878	2.7892	1.1924	119	11	0	1
Positive	6.1924	5.3222	10.0474	67	7	0	3
Positive	6.2413	4.185	5.2994	44	5	2	4
Positive	6.2601	1.2241	6.6575	122	0	0	0
Positive	6.213	5.2623	7.5162	40	3	6	1
Positive	6.2782	3.6009	1.3748	61	9	0	0
Positive	6.2759	0.4757	5.6076	51	0	0	0
Positive	6.1932	5.8544	9.2694	55	9	0	14
Positive	6.2054	6.8537	6.4746	68	9	10	0
Positive	6.2282	4.874	6.086	71	1	0	0
Positive	6.2276	3.1766	8.2957	63	2	0	2
Positive	6.2864	2.7958	1.3563	47	3	0	5
Positive	6.2754	1.3988	4.5048	47	9	0	0
Positive	6.2367	4.8503	5.0494	87	8	3	0
Positive	6.19	5.6018	10.0008	74	3	0	8
Positive	6.2326	4.6596	5.8082	84	8	0	1
Positive	6.2003	5.6414	8.644	66	1	0	0
Positive	6.2416	4.5651	4.7815	154	17	0	1
Positive	6.2405	5.8404	3.3146	137	30	17	10
Positive	6.2326	4.2354	6.3427	65	3	1	0
Positive	6.2877	1.0928	3.3352	51	3	0	0
Positive	6.2573	4.432	2.9686	108	6	0	0
Positive	6.2758	1.3497	4.5105	65	11	0	0
Positive	6.1925	6.265	8.8509	121	7	9	0
Positive	6.2107	3.3461	10.2191	91	11	0	0
Positive	6.2495	2.3109	6.6222	40	0	0	0
Positive	6.1853	6.1265	9.9328	72	4	0	1
Positive	6.2228	5.8535	5.5433	52	3	0	0
Positive	6.2657	4.1672	2.2477	64	3	0	0
Positive	6.2838	2.0018	2.678	44	0	0	0
Positive	6.2278	4.2952	6.8654	79	4	0	0
Positive	6.2544	2.3852	5.9148	54	0	0	0
Positive	6.282	3.2697	1.3185	139	27	1	0
Positive	6.2508	3.4438	5.036	118	8	0	0
Positive	6.2394	5.9428	3.3224	47	2	1	0
Positive	6.2029	4.7992	9.3714	41	1	0	0
Positive	6.236	3.9118	6.3135	43	8	0	0
Positive	6.2437	5.4749	3.3792	61	8	0	0
Positive	6.2104	6.2339	6.6296	79	8	0	0
Positive	6.2269	5.0709	6.0051	59	4	0	0
Positive	6.2757	2.4885	3.098	73	12	0	0
Positive	6.193	5.0509	10.3082	76	2	1	2
Positive	6.2467	5.4773	2.9971	93	6	0	15
Positive	6.2453	3.1682	6.0723	60	0	1	0
Positive	6.2384	3.5623	6.4458	64	7	5	0
Positive	6.2055	4.443	9.4921	73	6	0	0
Positive	6.1955	5.3344	9.6417	103	19	0	18
Positive	6.2617	4.341	2.5302	52	6	0	0
Positive	6.2411	4.1281	5.3927	87	8	2	0
Positive	6.2384	4.486	5.2913	89	4	0	0
Positive	6.2435	6.1206	2.5902	37	2	0	0
Positive	6.2354	6.9256	2.5988	38	8	0	2
Positive	6.2345	6.3816	3.3999	85	11	6	4
Positive	6.2731	1.535	4.6276	58	9	0	0
Positive	6.1869	7.0008	8.6272	65	6	0	10
Positive	6.2298	2.9316	8.3266	53	1	0	0
Positive	6.2614	4.2944	2.6303	42	2	0	0
Positive	6.1868	6.868	8.8106	60	8	0	8
Positive	6.2774	0.5472	5.3156	142	0	0	0
Positive	6.2415	5.7492	3.3088	32	5	1	7
Positive	6.1883	6.7715	8.7421	36	15	1	2
Positive	6.2527	5.6529	2.0086	69	4	0	0
Positive	6.2006	5.6586	8.5889	53	1	0	0
Positive	6.2135	6.3449	6.09	39	7	3	0
Positive	6.2255	6.0122	5.0025	41	2	0	0
Positive	6.2448	3.679	5.4936	97	5	0	0
Positive	6.2498	4.4838	3.8535	37	1	0	0
Positive	6.2844	1.369	3.4087	106	8	0	0
Positive	6.2266	7.0952	3.499	47	5	0	8
Positive	6.2416	2.9754	6.7803	76	4	0	0
Positive	6.2695	2.3772	4.016	30	7	0	8
Positive	6.2261	5.669	5.3588	91	3	1	0
Positive	6.2006	6.5567	7.4543	83	5	10	0
Positive	6.2232	4.1755	7.6043	101	12	0	0
Positive	6.2517	2.3643	6.2762	61	2	0	1
Positive	6.2365	3.1756	7.1778	96	0	0	0
Positive	6.2401	6.7089	2.2741	36	4	0	0
Positive	6.2227	5.4451	6.0599	44	2	0	0
Positive	6.2617	1.3324	6.3222	83	0	0	0
Positive	6.2667	2.198	4.5925	41	2	0	0
Positive	6.2206	3.4081	8.8907	41	0	0	0
Positive	6.2637	2.6881	4.3548	77	6	0	0
Positive	6.2691	1.0243	5.7686	60	4	0	0
Positive	6.2732	0.9841	5.298	73	8	0	0
Positive	6.2189	3.1154	9.471	134	34	0	0
Positive	6.1893	6.3371	9.1575	63	1	4	3
Positive	6.271	2.8982	3.1726	65	7	0	1
Positive	6.2297	4.4601	6.4205	48	2	0	1
Positive	6.2804	2.8353	2.0642	40	10	0	0
Positive	6.2357	3.6672	6.6668	50	4	3	0
Positive	6.2103	3.8353	9.6546	93	3	0	0
Positive	6.2605	1.6275	6.0918	213	0	0	0
Positive	6.1906	6.9179	8.2698	83	5	0	2
Positive	6.2755	3.7668	1.5144	52	11	0	0
Positive	6.2311	4.8992	5.6895	49	5	0	0
Positive	6.2612	4.2123	2.759	96	8	0	1
Positive	6.2703	1.4459	5.0812	36	0	0	0
Positive	6.2383	5.2136	4.3887	71	7	0	0
Positive	6.2706	1.1647	5.401	33	2	0	0
Positive	6.2135	6.1745	6.3062	52	3	3	0
Positive	6.2272	2.9458	8.6417	43	5	0	0
Positive	6.2142	5.5571	6.9961	58	2	0	2
Positive	6.2501	5.7771	2.1914	53	4	0	0
Positive	6.2172	5.6376	6.5123	77	3	1	0
Positive	6.1854	6.4525	9.5007	63	5	0	13
Positive	6.2001	4.1305	10.5679	73	7	0	16
Positive	6.2259	2.9432	8.8068	28	2	0	0
Positive	6.2871	1.6843	2.6653	41	4	0	0
Positive	6.2123	5.6456	7.1245	60	1	2	0
Positive	6.2271	6.7372	3.8832	42	4	0	2
Positive	6.2318	3.4399	7.434	51	1	0	0
Positive	6.2313	5.5285	4.8747	105	3	0	2
Positive	6.2783	1.8506	3.5635	63	6	0	0
Positive	6.242	5.7094	3.2907	62	8	0	2
Positive	6.2832	0.6596	4.4495	42	4	0	0
Positive	6.2005	4.814	9.6615	55	0	0	0
Positive	6.2296	6.3024	4.1102	92	9	0	0
Positive	6.2394	4.8269	4.739	78	3	5	0
Positive	6.2351	4.6677	5.472	62	5	0	2
Positive	6.2707	4.3127	1.4295	49	5	0	0
Positive	6.2706	4.8065	0.8171	64	19	0	17
Positive	6.228	5.1042	5.8262	133	14	0	0
Positive	6.1973	5.8657	8.7422	94	7	2	21
Positive	6.2039	5.9539	7.8012	63	10	6	2
Positive	6.2389	4.7665	4.8729	120	11	13	3
Positive	6.2368	3.8595	6.276	103	5	0	0
Positive	6.2804	3.4694	1.2626	43	8	0	0
Positive	6.2197	3.5225	8.8652	60	3	0	0
Positive	6.2555	3.7958	3.9985	53	2	0	0
Positive	6.2117	5.5554	7.3205	100	8	2	5
Positive	6.273	3.2416	2.4834	37	3	0	0
Positive	6.2036	6.6357	6.9797	94	5	23	1
Positive	6.2676	4.5152	1.5612	97	13	0	0
Positive	6.2036	3.8869	10.4355	54	4	0	1
Positive	6.2249	5.0308	6.3053	55	3	0	0
Positive	6.2603	4.3249	2.7299	77	2	0	0
Positive	6.2402	6.5075	2.5178	142	26	0	16
Positive	6.2868	0.9477	3.6273	37	1	0	0
Positive	6.2884	2.1871	1.8711	61	6	0	0
Positive	6.2156	3.5933	9.2957	53	2	0	0
Positive	6.277	1.4779	4.1954	46	6	0	0
Positive	6.2814	2.3931	2.4965	63	6	0	0
Positive	6.2771	1.4496	4.2219	67	7	0	0
Positive	6.2685	4.2635	1.7666	54	7	0	0
Positive	6.2323	4.1871	6.4323	43	3	3	0
Positive	6.253	5.5205	2.1471	73	9	0	18
Positive	6.2251	3.1499	8.6468	27	0	0	0
Positive	6.2686	1.0861	5.7545	62	4	0	0
Positive	6.2103	4.128	9.292	75	5	0	0
Positive	6.2585	2.233	5.5864	60	12	0	1
Positive	6.2828	0.7098	4.4298	77	7	0	0
Positive	6.2324	6.0093	4.1287	44	3	1	1
Positive	6.227	2.5285	9.192	109	0	0	0
Positive	6.2124	3.3219	10.0378	42	3	0	0
Positive	6.2093	4.303	9.1891	80	5	0	0
Positive	6.2892	1.1208	3.1054	57	6	0	0
Positive	6.2091	4.3772	9.129	46	3	0	0
Positive	6.2159	6.011	6.2139	33	0	0	0
Positive	6.2682	4.475	1.5369	39	1	0	0
Positive	6.221	6.2318	5.2909	63	3	0	0
Positive	6.2461	2.1768	7.2278	76	0	0	0
Positive	6.2598	5.2143	1.6668	124	22	0	0
Positive	6.2257	2.7389	9.0919	89	12	1	0
Positive	6.2472	5.3336	3.1057	82	1	0	5
Positive	6.2087	6.7798	6.1514	57	7	10	0
Positive	6.2843	0.7392	4.2088	68	7	0	0
Positive	6.2086	5.1731	8.1896	61	5	9	0
Positive	6.2873	0.7612	3.7993	41	4	0	0
Positive	6.2355	6.2515	3.4275	33	5	8	0
Positive	6.2737	3.8453	1.6413	73	6	0	0
Positive	6.2419	6.6062	2.1731	46	4	1	1
Positive	6.2131	5.9642	6.6281	107	3	0	0
Positive	6.2665	4.3603	1.8945	40	3	0	0
Positive	6.2921	0.77	3.1857	92	1	0	0
Positive	6.2431	3.5564	5.8597	111	13	0	11
Positive	6.2863	1.3788	3.1547	65	6	0	0
Positive	6.2922	0.7495	3.196	62	0	0	0
Positive	6.2613	4.9337	1.8369	33	3	0	0
Positive	6.2826	0.6808	4.4953	38	2	0	0
Positive	6.2798	0.7116	4.8151	66	0	0	0
Positive	6.2551	4.9458	2.5988	43	0	0	0
Positive	6.1805	7.001	9.4344	47	2	0	2
Positive	6.2869	2.1938	2.0544	66	14	0	0
Positive	6.2213	6.3429	5.1127	85	4	1	3
Positive	6.2253	6.5303	4.3694	50	9	9	1
Positive	6.2139	3.6683	9.409	60	3	0	0
Positive	6.2456	5.8552	2.6613	91	5	0	0
Positive	6.2769	3.52	1.6471	68	6	0	0
Positive	6.2885	0.5996	3.8538	40	3	0	2
Positive	6.2744	0.5948	5.6348	54	0	0	0
Positive	6.2152	5.6968	6.6942	76	6	0	1
Positive	6.2032	4.1245	10.1851	117	14	0	3
Positive	6.2965	0.7896	2.6085	34	0	0	0
Positive	6.291	1.4197	2.5029	52	1	0	0
Positive	6.2096	6.7141	6.1254	67	10	7	0
Positive	6.2821	2.7753	1.9178	85	4	0	1
Positive	6.2095	5.762	7.3334	77	15	8	0
Positive	6.2186	3.6091	8.8899	72	1	0	0
Positive	6.1848	6.1749	9.9337	46	4	0	0
Positive	6.2413	3.4106	6.2746	34	2	1	0
Positive	6.2437	3.2917	6.1215	54	7	1	0
Positive	6.2019	4.6039	9.7489	47	3	0	0
Positive	6.2641	5.0656	1.3161	202	38	1	0
Positive	6.2953	1.515	1.8393	32	0	0	0
Positive	6.2027	6.7589	6.9366	76	12	17	0
Positive	6.2097	6.6949	6.1278	37	2	1	0
Positive	6.2036	6.5259	7.1145	112	15	8	0
Positive	6.2875	0.5547	4.0376	41	1	0	0
Positive	6.2862	2.6856	1.5216	35	7	0	5
Positive	6.2463	5.6223	2.8561	74	5	0	6
Positive	6.2358	4.8796	5.126	35	3	4	1
Positive	6.2207	5.6325	6.0868	74	2	0	0
Positive	6.2624	1.7657	5.6872	69	2	0	0
Positive	6.2731	4.0077	1.5078	47	3	0	0
Positive	6.2298	7.0483	3.1544	43	11	1	3
Positive	6.2786	3.2324	1.7959	138	19	0	0
Positive	6.2381	3.7862	6.2072	39	2	0	0
Positive	6.2879	1.959	2.2131	36	1	0	0
Positive	6.2317	5.1459	5.3057	56	3	0	0
Positive	6.1951	5.813	9.082	100	1	0	6
Positive	6.2912	2.0677	1.6684	38	2	0	0
Positive	6.202	5.5921	8.4919	31	1	0	9
Positive	6.2825	0.7124	4.4713	40	4	0	0
Positive	6.2268	6.6479	4.0349	63	6	0	1
Positive	6.1896	6.0723	9.4523	57	9	0	0
Positive	6.2617	5.42	1.1683	25	9	0	1
Positive	6.2145	3.2249	9.8909	0	0	0	0
Positive	6.2197	6.3875	5.2612	84	4	1	1
Positive	6.2224	5.9292	5.4986	83	3	1	0
Positive	6.2802	2.2545	2.814	45	6	0	0
Positive	6.2237	4.6397	6.9505	41	0	0	0
Positive	6.2887	2.1254	1.9127	66	14	0	2
Positive	6.2896	0.9912	3.2187	36	2	0	0
Positive	6.2303	7.1471	2.9632	102	5	0	0
Positive	6.2357	6.2804	3.3699	140	10	14	0
Positive	6.2249	6.3199	4.6884	83	10	22	0
Positive	6.2812	0.8382	4.4699	48	8	0	0
Positive	6.2207	4.0914	8.0194	60	2	0	0
Positive	6.2285	3.1443	8.2288	32	1	0	0
Positive	6.2755	4.1102	1.0754	42	5	0	0
Positive	6.2513	5.9816	1.7801	28	3	0	0
Positive	6.2755	3.581	1.7385	118	7	0	0
Positive	6.2829	2.9436	1.6064	59	4	1	0
Positive	6.27	4.4067	1.3958	258	36	0	1
Positive	6.2754	0.5057	5.6229	54	0	0	0
Positive	6.2897	1.2245	2.9167	41	13	0	0
Positive	6.2573	4.4644	2.9305	105	11	0	0
Positive	6.2634	1.5383	5.8428	47	0	0	0
Positive	6.2634	1.7708	5.55	44	3	0	0
Positive	6.2168	3.139	9.7067	60	8	0	0
Positive	6.2574	1.7432	6.339	58	9	0	0
Positive	6.2332	4.3641	6.1035	100	13	8	4
Positive	6.2427	5.5021	3.4677	102	1	0	0
Positive	6.2336	4.1815	6.2755	111	11	0	0
Positive	6.2184	5.7841	6.1829	38	1	0	0
Positive	6.1953	6.1535	8.6262	87	8	6	13
Positive	6.2356	4.926	5.0932	88	8	1	3
Positive	6.1978	4.7506	10.0798	60	3	1	14
Positive	6.2313	3.6791	7.207	43	1	0	0
Positive	6.2534	4.2085	3.7482	31	2	0	0
Positive	6.287	1.4774	2.9382	41	11	0	0
Positive	6.2432	1.7876	8.0835	137	0	0	0
Positive	6.2735	1.2944	4.8788	34	8	0	0
Positive	6.2409	5.9068	3.1831	61	0	2	8
Positive	6.2236	5.8278	5.4691	82	9	8	0
Positive	6.222	3.8637	8.1431	62	3	1	0
Positive	6.253	2.5965	5.8235	56	1	3	0
Positive	6.2175	5.749	6.3386	66	4	0	0
Positive	6.2639	4.6881	1.8117	64	11	0	0
Positive	6.2636	2.0156	5.2204	41	10	0	0
Positive	6.2905	2.5358	1.1647	56	13	0	17
Positive	6.2947	0.7066	2.9369	21	0	0	0
Positive	6.2612	4.2442	2.7176	60	5	0	0
Positive	6.2609	1.172	6.6224	88	0	0	0
Positive	6.2766	1.8873	3.7304	41	8	0	0
Positive	6.2236	4.7896	6.7715	65	9	0	2
Positive	6.2156	5.3714	7.0594	36	1	0	0
Positive	6.2458	3.8617	5.1423	41	5	0	0
Positive	6.2775	2.0499	3.4138	58	10	0	1
Positive	6.2267	5.7422	5.187	47	5	1	2
Positive	6.2463	4.2689	4.5665	79	4	1	0
Positive	6.2072	6.286	6.961	122	15	8	9
Positive	6.222	6.2373	5.152	65	9	3	0
Positive	6.2147	5.423	7.1026	48	4	0	3
Positive	6.252	2.3622	6.2429	47	2	0	4
Positive	6.1971	6.2232	8.3227	39	3	0	0
Positive	6.2382	5.5511	3.9761	59	1	0	0
Positive	6.2658	4.1518	2.2549	83	2	0	0
Positive	6.276	3.5503	1.7134	67	5	0	0
Positive	6.2299	6.0044	4.4521	156	13	2	0
Positive	6.2556	5.8904	1.3541	125	14	0	14
Positive	6.216	6.4621	5.6282	80	3	8	0
Positive	6.2284	2.5257	9.024	233	0	0	0
Positive	6.2361	6.9792	2.4392	55	9	0	10
Positive	6.2823	1.0431	4.0756	57	7	0	1
Positive	6.2218	6.7971	4.4766	40	1	0	0
Positive	6.29	2.5555	1.1972	49	2	1	0
Positive	6.2805	3.3818	1.3567	59	6	0	0
Positive	6.2305	7.1015	2.9892	60	5	0	0
